jour,date,location,horaire,horaire_fin,description
lundi,04/09/2023,"S340
",09:00,13:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Mohammed El Amine BECHAR
- Description : Image / IA / Classification
"
lundi,04/09/2023,"S340
",14:00,17:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Mohammed El Amine BECHAR
- Description : Image / IA / Classification
"
mardi,05/09/2023,"S340
",09:00,13:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Mohammed El Amine BECHAR
- Description : Image / IA / Classification
"
mardi,05/09/2023,"S340
",14:00,17:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Mohammed El Amine BECHAR
- Description : Image / IA / Classification
"
mercredi,06/09/2023,"S340
",09:00,13:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Mohammed El Amine BECHAR
- Description : Image / IA / Classification
"
mercredi,06/09/2023,"S340
",14:00,17:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Mohammed El Amine BECHAR
- Description : Image / IA / Classification
"
jeudi,07/09/2023,"S302 / S340
",09:00,13:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Stéphane JAMIN-NORMAND
- Description : Docker / Matching entreprise 302
"
jeudi,07/09/2023,"S302 / S340
",14:00,17:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Stéphane JAMIN-NORMAND
- Description : Docker / matching entreprise 302
"
vendredi,08/09/2023,"S210 / S340
",09:00,13:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Stéphane JAMIN-NORMAND
- Description : Data Viz
"
vendredi,08/09/2023,"S210 / S340
",14:00,17:00,"- Matière : Intelligence Artificielle
- Cours : 
- Activité : COURS
- Intervenant(s) : Stéphane JAMIN-NORMAND
- Description : Data Viz
"
